"DateTime";"Народжених";"Померлих"
"1990-12-01 00:00:00";657200;629600
"1991-12-01 00:00:00";630800;669900
"1992-12-01 00:00:00";596800;697100
"1993-12-01 00:00:00";557500;741700
"1994-12-01 00:00:00";521600;764700
"1995-12-01 00:00:00";492900;792600
"1996-12-01 00:00:00";467200;776700
"1997-12-01 00:00:00";442600;754200
"1998-12-01 00:00:00";419200;719900
"1999-12-01 00:00:00";389200;739200
"2000-12-01 00:00:00";385100;758100
"2001-12-01 00:00:00";376500;746000
"2002-12-01 00:00:00";390700;754900
"2003-12-01 00:00:00";408600;765400
"2004-12-01 00:00:00";427300;761300
"2005-12-01 00:00:00";426100;782000
"2006-12-01 00:00:00";460400;758100
"2007-12-01 00:00:00";472700;762900
"2008-12-01 00:00:00";510600;754500
"2009-12-01 00:00:00";512500;706700
"2010-12-01 00:00:00";497700;698200
"2011-12-01 00:00:00";502600;664600
"2012-12-01 00:00:00";520700;663100
"2013-12-01 00:00:00";503700;662400
"2014-12-01 00:00:00";465900;632300
"2015-12-01 00:00:00";411800;594800
"2016-12-01 00:00:00";397000;583600
"2017-12-01 00:00:00";364000;574100
"2018-12-01 00:00:00";335900;587700
"2019-12-01 00:00:00";308800;581100
"2020-12-01 00:00:00";293400;616800
"2021-12-01 00:00:00";271984;714263
